contribution_id,donor_id,gift_date,gift_amount,online_order_id,online_reference_line_item_id
54772623,266296268,2021-03-28,20,PP261519204275,382301605
54772848,266297554,2021-03-28,20,PP261519206796,382303297
54772552,248672988,2021-03-28,20,PP261519203612,382301177
54772861,253922522,2021-03-28,20,PP261519201959,382300040
54772377,266294252,2021-03-28,200,PP261519201877,382299974
54772380,266294392,2021-03-28,10,PP261519202116,382300138
54772314,242492766,2021-03-28,10,PP261519201316,382299639
54772858,253411058,2021-03-28,10,PP261519202218,382300195
54772320,250296874,2021-03-28,10,PP261519201379,382299673
54774534,247375260,2021-03-28,100,PP261519390332,382337127
55061848,266293490,2021-04-27,14,PP261519200438,386602432
55061785,248090286,2021-04-27,14,PP261519199389,386601756
55061794,266292922,2021-04-27,14,PP261519199544,386601846
55061640,257406918,2021-04-27,14,PP261519198306,386601046
55061662,266193764,2021-04-27,14,PP261519198835,386601406
55061800,262103248,2021-04-27,8,PP261519199754,386601974
55061822,262363152,2021-04-27,8,PP261519199995,386602136
55061656,266292614,2021-04-27,8,PP261519198660,386601273
55061816,266293150,2021-04-27,8,PP261519200033,386602171
55061678,254778278,2021-04-27,60,PP261519199061,386601560
55061691,248165506,2021-04-27,60,PP261519199375,386601748
55061649,260464188,2021-04-27,50,PP261519198355,386601070
55061807,256007498,2021-04-27,50,PP261519199874,386602063
55061634,256065600,2021-04-27,50,PP261519198204,386600982
55061633,240494246,2021-04-27,50,PP261519198154,386600959
55061783,266292854,2021-04-27,50,PP261519199387,386601763
55061686,255803832,2021-04-27,50,PP261519199202,386601645
55061853,256795100,2021-04-27,50,PP261519200485,386602453
55061685,255903090,2021-04-27,12,PP261519199182,386601634
55061846,250887882,2021-04-27,12,PP261519200314,386602347
55061677,254435284,2021-04-27,30,PP261519199070,386601566
55061867,255976036,2021-04-27,6,PP261519200725,386602587
55061851,247300942,2021-04-27,20,PP261519200306,386602341
55061874,258877672,2021-04-27,20,PP261519200588,386602527
55061667,262041474,2021-04-27,20,PP261519198825,386601401
55061680,262127838,2021-04-27,20,PP261519198998,386601518
55061854,266265450,2021-04-27,20,PP261519200492,386602464
55061682,257412446,2021-04-27,20,PP261519199029,386601543
55061657,261448602,2021-04-27,20,PP261519198655,386601267
55061672,266292714,2021-04-27,20,PP261519199007,386601525
55061834,266293312,2021-04-27,20,PP261519200242,386602313
55061668,266292622,2021-04-27,20,PP261519198692,386601315
55061791,259488360,2021-04-27,20,PP261519199460,386601797
55061674,249207142,2021-04-27,20,PP261519198991,386601514
55061644,241765530,2021-04-27,20,PP261519198428,386601129
55061630,266292328,2021-04-27,20,PP261519197962,386600853
55061620,266292340,2021-04-27,20,PP261519197978,386600863
55061860,262281362,2021-04-27,20,PP261519200547,386602504
55061623,266292348,2021-04-27,20,PP261519198018,386600894
55061688,266290948,2021-04-27,20,PP261519199245,386601667
55061675,255043522,2021-04-27,20,PP261519199009,386601530
55061805,253414394,2021-04-27,10,PP261519199928,386602093
55061670,266272906,2021-04-27,10,PP261519198910,386601455
55061843,252328974,2021-04-27,10,PP261519200333,386602357
55061819,253727728,2021-04-27,10,PP261519200047,386602175
55061654,266292592,2021-04-27,10,PP261519198629,386601258
55061810,266293050,2021-04-27,10,PP261519199881,386602070
55061821,250486602,2021-04-27,10,PP261519200030,386602165
55061647,254722912,2021-04-27,10,PP261519198426,386601126
55061687,266292772,2021-04-27,10,PP261519199209,386601644
55061788,257310994,2021-04-27,10,PP261519199501,386601817
55061806,266279188,2021-04-27,10,PP261519199911,386602082
55061798,257534788,2021-04-27,100,PP261519199523,386601827
55073039,266294230,2021-04-28,14,PP261519201844,386780677
55073020,257383430,2021-04-28,50,PP261519201541,386780488
55072821,247070232,2021-04-28,50,PP261519203385,386781662
55073042,256044500,2021-04-28,50,PP261519201752,386780620
55073010,247914388,2021-04-28,50,PP261519201387,386780423
55073051,253922522,2021-04-28,20,PP261519201959,386780747
55073242,266296268,2021-04-28,20,PP261519204275,386782203
55073448,266297554,2021-04-28,20,PP261519206796,386783734
55072886,248672988,2021-04-28,20,PP261519203612,386781806
55073054,266294252,2021-04-28,200,PP261519201877,386780694
55073060,266294392,2021-04-28,10,PP261519202116,386780833
55073003,242492766,2021-04-28,10,PP261519201316,386780397
55073001,250296874,2021-04-28,10,PP261519201379,386780424
55073059,253411058,2021-04-28,10,PP261519202218,386780879
55289737,266193764,2021-05-27,14,PP261519198835,390909801
55289830,266293490,2021-05-27,14,PP261519200438,390910749
55289711,257406918,2021-05-27,14,PP261519198306,390909460
55289772,266292922,2021-05-27,14,PP261519199544,390910211
55289760,248090286,2021-05-27,14,PP261519199389,390910120
55289798,262363152,2021-05-27,8,PP261519199995,390910479
55289775,253827020,2021-05-27,8,PP261519199642,390910261
55289782,262103248,2021-05-27,8,PP261519199754,390910327
55289805,266293150,2021-05-27,8,PP261519200033,390910507
55289729,266292614,2021-05-27,8,PP261519198660,390909676
55289761,248165506,2021-05-27,60,PP261519199375,390910119
55289743,254778278,2021-05-27,60,PP261519199061,390909944
55289703,240494246,2021-05-27,50,PP261519198154,390909376
55289759,266292854,2021-05-27,50,PP261519199387,390910114
55289699,256065600,2021-05-27,50,PP261519198204,390909400
55289825,256795100,2021-05-27,50,PP261519200485,390910776
55289720,260464188,2021-05-27,50,PP261519198355,390909489
55289840,256980778,2021-05-27,50,PP261519200645,390910865
55289754,255803832,2021-05-27,50,PP261519199202,390910020
55289785,256007498,2021-05-27,50,PP261519199874,390910410
55289753,255903090,2021-05-27,12,PP261519199182,390910013
55289822,250887882,2021-05-27,12,PP261519200314,390910672
55289842,255976036,2021-05-27,6,PP261519200725,390910903
55289850,258877672,2021-05-27,20,PP261519200588,390910837
55289750,262127838,2021-05-27,20,PP261519198998,390909908
55289741,266292714,2021-05-27,20,PP261519199007,390909914
55289727,261448602,2021-05-27,20,PP261519198655,390909674
55289732,266292622,2021-05-27,20,PP261519198692,390909710
55289735,262041474,2021-05-27,20,PP261519198825,390909792
55289691,266292340,2021-05-27,20,PP261519197978,390909281
55289766,259488360,2021-05-27,20,PP261519199460,390910165
55289834,262281362,2021-05-27,20,PP261519200547,390910821
55289811,266293312,2021-05-27,20,PP261519200242,390910643
55289744,249207142,2021-05-27,20,PP261519198991,390909904
55289756,266290948,2021-05-27,20,PP261519199245,390910049
55289716,241765530,2021-05-27,20,PP261519198428,390909547
55289696,266292348,2021-05-27,20,PP261519198018,390909312
55289827,266265450,2021-05-27,20,PP261519200492,390910782
55289701,266292328,2021-05-27,20,PP261519197962,390909276
55289829,247300942,2021-05-27,20,PP261519200306,390910667
55289747,257412446,2021-05-27,20,PP261519199029,390909929
55289746,255043522,2021-05-27,20,PP261519199009,390909915
55289817,252328974,2021-05-27,10,PP261519200333,390910674
55289790,266279188,2021-05-27,10,PP261519199911,390910428
55289799,253727728,2021-05-27,10,PP261519200047,390910516
55289755,266292772,2021-05-27,10,PP261519199209,390910023
55289768,257310994,2021-05-27,10,PP261519199501,390910186
55289725,266292592,2021-05-27,10,PP261519198629,390909664
55289787,266293050,2021-05-27,10,PP261519199881,390910416
55289800,250486602,2021-05-27,10,PP261519200030,390910500
55289739,266272906,2021-05-27,10,PP261519198910,390909844
55289786,253414394,2021-05-27,10,PP261519199928,390910441
55289717,254722912,2021-05-27,10,PP261519198426,390909537
55289777,257534788,2021-05-27,100,PP261519199523,390910197
55304954,257383430,2021-05-28,50,PP261519201541,391079030
55304677,247070232,2021-05-28,50,PP261519203385,391080140
55304944,247914388,2021-05-28,50,PP261519201387,391078976
55304972,256044500,2021-05-28,50,PP261519201752,391079150
55304742,248672988,2021-05-28,20,PP261519203612,391080286
55304984,253922522,2021-05-28,20,PP261519201959,391079270
55305351,266297554,2021-05-28,20,PP261519206796,391082064
55304787,266296268,2021-05-28,20,PP261519204275,391080669
55304981,266294252,2021-05-28,200,PP261519201877,391079221
55304983,266294392,2021-05-28,10,PP261519202116,391079358
55304990,253411058,2021-05-28,10,PP261519202218,391079406
55304932,250296874,2021-05-28,10,PP261519201379,391078972
55304928,242492766,2021-05-28,10,PP261519201316,391078948
49097862,256450564,2021-02-27,2,PP261519198714,377729223
49097539,256378622,2021-02-27,2,PP261519198344,377724530
49098536,261872650,2021-02-27,2,PP261519199282,377736508
49098407,266292820,2021-02-27,2,PP261519199314,377736928
49097904,250267568,2021-02-27,2,PP261519198780,377730081
49097321,255338766,2021-02-27,2,PP261519198141,377721869
49100478,255493708,2021-02-27,2,PP261519200823,377756156
49098859,255754588,2021-02-27,52,PP261519198902,377731688
49098006,255745152,2021-02-27,52,PP261519198894,377731587
49097719,266268970,2021-02-27,14,PP261519198543,377727000
49098777,266292982,2021-02-27,14,PP261519199712,377741991
49097856,262118580,2021-02-27,14,PP261519198701,377729027
49098490,257421480,2021-02-27,14,PP261519199410,377738146
49098916,266293062,2021-02-27,14,PP261519199899,377744485
49097773,246259744,2021-02-27,14,PP261519198600,377727736
49098062,262185898,2021-02-27,14,PP261519198946,377732249
49097965,266272856,2021-02-27,14,PP261519198864,377731193
49097194,256778132,2021-02-27,14,PP261519197984,377719846
49100066,264982026,2021-02-27,14,PP261519200574,377753007
49099599,266293392,2021-02-27,14,PP261519200322,377749827
49097541,266292492,2021-02-27,14,PP261519198346,377724555
49099011,256595660,2021-02-27,14,PP261519199987,377745587
49097462,252009604,2021-02-27,14,PP261519198276,377723644
49099245,262182504,2021-02-27,14,PP261519200157,377747777
49098077,262180388,2021-02-27,14,PP261519198977,377732646
49097498,266290048,2021-02-27,14,PP261519198315,377724134
49097652,262533276,2021-02-27,14,PP261519198431,377725597
49098805,261893276,2021-02-27,14,PP261519199768,377742731
49098758,261151970,2021-02-27,14,PP261519199692,377741719
49098884,256024880,2021-02-27,14,PP261519199853,377743868
49097254,257021160,2021-02-27,14,PP261519198059,377720802
49098052,256382792,2021-02-27,14,PP261519198933,377732093
49098861,266293034,2021-02-27,14,PP261519199824,377743481
49098535,257023020,2021-02-27,14,PP261519199418,377738248
49099468,261381408,2021-02-27,14,PP261519200267,377749128
49097431,266292446,2021-02-27,14,PP261519198243,377723200
49099146,266193756,2021-02-27,14,PP261519200097,377747009
49098732,266243888,2021-02-27,14,PP261519199665,377741379
49098275,266292754,2021-02-27,14,PP261519199189,377735390
49098840,256501480,2021-02-27,14,PP261519199790,377743033
49098331,257619464,2021-02-27,14,PP261519199233,377735931
49099047,243745870,2021-02-27,14,PP261519200020,377746039
49098178,257307192,2021-02-27,14,PP261519199072,377733891
49098521,266251074,2021-02-27,14,PP261519199422,377738295
49097294,266231206,2021-02-27,14,PP261519198106,377721408
49098012,254028294,2021-02-27,14,PP261519198918,377731901
49100194,266293634,2021-02-27,14,PP261519200639,377753817
49098273,266292752,2021-02-27,14,PP261519199190,377735409
49097982,261017734,2021-02-27,14,PP261519198838,377730855
49100612,257060716,2021-02-27,14,PP261519200896,377757096
49098750,252770408,2021-02-27,14,PP261519199685,377741620
49097607,253141560,2021-02-27,14,PP261519198415,377725410
49098716,253827020,2021-02-27,14,PP261519199642,377741105
49097504,262180162,2021-02-27,14,PP261519198321,377724219
49097942,256284876,2021-02-27,14,PP261519198825,377730678
49097255,264603304,2021-02-27,14,PP261519198064,377720866
49100894,257627592,2021-02-27,14,PP261519201121,377759917
49099034,256815526,2021-02-27,14,PP261519200010,377745900
49098369,266292802,2021-02-27,14,PP261519199274,377736422
49097503,257436496,2021-02-27,14,PP261519198344,377724525
49098196,243054082,2021-02-27,14,PP261519199100,377734239
49098978,266293100,2021-02-27,14,PP261519199943,377745032
49097553,258783382,2021-02-27,14,PP261519198355,377724668
49098204,257573076,2021-02-27,14,PP261519199125,377734560
49099785,250809212,2021-02-27,14,PP261519200415,377751030
49098157,266263210,2021-02-27,14,PP261519199067,377733832
49098102,262102928,2021-02-27,14,PP261519199001,377732963
49097947,256062460,2021-02-27,14,PP261519198831,377730759
49098818,254273366,2021-02-27,14,PP261519199748,377742481
49100269,250397844,2021-02-27,14,PP261519200706,377754636
49098579,260414492,2021-02-27,14,PP261519199459,377738747
49098128,254193676,2021-02-27,14,PP261519199015,377733151
49097702,263871728,2021-02-27,14,PP261519198517,377726674
49098060,256864920,2021-02-27,14,PP261519198915,377731862
49098380,257392446,2021-02-27,14,PP261519199282,377736515
49098007,256948084,2021-02-27,14,PP261519198892,377731558
49098026,266187544,2021-02-27,14,PP261519198911,377731813
49097372,266189684,2021-02-27,14,PP261519198192,377722492
49098111,257235300,2021-02-27,14,PP261519198965,377732500
49097807,266292600,2021-02-27,14,PP261519198643,377728305
49098020,256493610,2021-02-27,14,PP261519198905,377731721
49097547,266260208,2021-02-27,14,PP261519198354,377724657
49099832,266293490,2021-02-27,14,PP261519200438,377751313
49099021,266292756,2021-02-27,14,PP261519199996,377745715
49098414,258444190,2021-02-27,14,PP261519199322,377737047
49097939,250741842,2021-02-27,14,PP261519198825,377730681
49098826,266293010,2021-02-27,14,PP261519199758,377742607
49097357,266292412,2021-02-27,14,PP261519198176,377722297
49097521,254362784,2021-02-27,14,PP261519198331,377724342
49097223,251845338,2021-02-27,14,PP261519198019,377720295
49097422,257360778,2021-02-27,14,PP261519198240,377723167
49097887,266292636,2021-02-27,14,PP261519198743,377729594
49100044,258639028,2021-02-27,14,PP261519200568,377752928
49098640,266292922,2021-02-27,14,PP261519199544,377739858
49099507,266293346,2021-02-27,14,PP261519200287,377749365
49097625,257518158,2021-02-27,14,PP261519198431,377725593
49098193,259436490,2021-02-27,14,PP261519199068,377733843
49099552,256122216,2021-02-27,14,PP261519200299,377749509
49098675,256717008,2021-02-27,14,PP261519199616,377740763
49098728,263699874,2021-02-27,14,PP261519199660,377741316
49099983,261883862,2021-02-27,14,PP261519200526,377752388
49097836,257623714,2021-02-27,14,PP261519198651,377728411
49098452,256622098,2021-02-27,14,PP261519199355,377737474
49098277,252859708,2021-02-27,14,PP261519199184,377735322
49098194,252407032,2021-02-27,14,PP261519199095,377734182
49097264,266292374,2021-02-27,14,PP261519198076,377721013
49098079,266206408,2021-02-27,14,PP261519198956,377732387
49098084,266248950,2021-02-27,14,PP261519198960,377732429
49098661,262170888,2021-02-27,14,PP261519199574,377740253
49098263,260045286,2021-02-27,14,PP261519199179,377735240
49097665,250790604,2021-02-27,14,PP261519198477,377726178
49098054,266292684,2021-02-27,14,PP261519198937,377732130
49097963,266235936,2021-02-27,14,PP261519198821,377730630
49097651,249566634,2021-02-27,14,PP261519198460,377725969
49097184,266292334,2021-02-27,14,PP261519197988,377719905
49098300,256757534,2021-02-27,14,PP261519199223,377735804
49100210,253679230,2021-02-27,14,PP261519200665,377754148
49097923,257521104,2021-02-27,14,PP261519198817,377730580
49098304,266292766,2021-02-27,14,PP261519199210,377735647
49099570,262159252,2021-02-27,14,PP261519200309,377749633
49098344,266292792,2021-02-27,14,PP261519199243,377736052
49097374,258694550,2021-02-27,14,PP261519198193,377722513
49098153,245746276,2021-02-27,14,PP261519199043,377733528
49097171,246432428,2021-02-27,14,PP261519197952,377719461
49098223,266292738,2021-02-27,14,PP261519199133,377734661
49098492,242349198,2021-02-27,14,PP261519199396,377737966
49098421,256666898,2021-02-27,14,PP261519199330,377737154
49097326,257514970,2021-02-27,14,PP261519198142,377721874
49098177,266262204,2021-02-27,14,PP261519199070,377733875
49097529,266292484,2021-02-27,14,PP261519198336,377724398
49098329,256876556,2021-02-27,14,PP261519199232,377735919
49098091,251193358,2021-02-27,14,PP261519198940,377732176
49098852,266293026,2021-02-27,14,PP261519199806,377743233
49098082,266292696,2021-02-27,14,PP261519198961,377732450
49099715,266293440,2021-02-27,14,PP261519200375,377750512
49097577,257488040,2021-02-27,14,PP261519198402,377725266
49097885,266292634,2021-02-27,14,PP261519198737,377729522
49097935,262143572,2021-02-27,14,PP261519198818,377730591
49098103,262244622,2021-02-27,14,PP261519198982,377732715
49097655,256978774,2021-02-27,14,PP261519198460,377725973
49099856,260788996,2021-02-27,14,PP261519200454,377751503
49098739,259256986,2021-02-27,14,PP261519199670,377741426
49098246,247248184,2021-02-27,14,PP261519199180,377735272
49097424,240587582,2021-02-27,14,PP261519198244,377723214
49097818,256094192,2021-02-27,14,PP261519198658,377728490
49098810,262103248,2021-02-27,14,PP261519199754,377742556
49098559,266292888,2021-02-27,14,PP261519199463,377738802
49098618,266292912,2021-02-27,14,PP261519199519,377739515
49097919,249178188,2021-02-27,14,PP261519198790,377730232
49097869,262048944,2021-02-27,14,PP261519198724,377729343
49097508,261884334,2021-02-27,14,PP261519198293,377723856
49098210,258503834,2021-02-27,14,PP261519199119,377734482
49100292,266293692,2021-02-27,14,PP261519199642,377741101
49100253,266293674,2021-02-27,14,PP261519200687,377754409
49097239,262249438,2021-02-27,14,PP261519198041,377720580
49097568,262137186,2021-02-27,14,PP261519198370,377724861
49097825,266292614,2021-02-27,14,PP261519198660,377728514
49098651,250007920,2021-02-27,14,PP261519199557,377740034
49099549,262162136,2021-02-27,14,PP261519200303,377749564
49098354,256926804,2021-02-27,14,PP261519199254,377736196
49099948,255226838,2021-02-27,14,PP261519200523,377752356
49098496,261250368,2021-02-27,14,PP261519199400,377738022
49100235,266293662,2021-02-27,14,PP261519200677,377754281
49097587,259284410,2021-02-27,14,PP261519198392,377725143
49098253,262185004,2021-02-27,14,PP261519199169,377735101
49098358,250569348,2021-02-27,14,PP261519199252,377736168
49098632,262100830,2021-02-27,14,PP261519199532,377739694
49098139,251453542,2021-02-27,14,PP261519199032,377733390
49098720,254896268,2021-02-27,14,PP261519199646,377741151
49098485,248090286,2021-02-27,14,PP261519199389,377737893
49098462,257255992,2021-02-27,14,PP261519199343,377737320
49097189,266292336,2021-02-27,14,PP261519197980,377719799
49098703,255383396,2021-02-27,14,PP261519199631,377740959
49098286,262093080,2021-02-27,14,PP261519199200,377735524
49098937,266272768,2021-02-27,14,PP261519199895,377744440
49098646,256509558,2021-02-27,14,PP261519199565,377740137
49098855,266188878,2021-02-27,14,PP261519199799,377743140
49098309,261581312,2021-02-27,14,PP261519199215,377735710
49098105,257022256,2021-02-27,14,PP261519198986,377732759
49098763,260937018,2021-02-27,14,PP261519199697,377741773
49098894,266213086,2021-02-27,14,PP261519199873,377744148
49098900,266293044,2021-02-27,14,PP261519199879,377744218
49098285,266292762,2021-02-27,14,PP261519199198,377735505
49100391,256975978,2021-02-27,14,PP261519200758,377755295
49097792,256420690,2021-02-27,14,PP261519198625,377728055
49098509,266292864,2021-02-27,14,PP261519199413,377738179
49097298,253179116,2021-02-27,14,PP261519198114,377721523
49098318,260573588,2021-02-27,14,PP261519199212,377735680
49098625,252687574,2021-02-27,14,PP261519199526,377739619
49097238,266292356,2021-02-27,14,PP261519198041,377720581
49098047,262204274,2021-02-27,14,PP261519198931,377732056
49097392,242345580,2021-02-27,14,PP261519198212,377722777
49098334,257528100,2021-02-27,14,PP261519199132,377734641
49098875,256965662,2021-02-27,14,PP261519199843,377743737
49097470,256574736,2021-02-27,14,PP261519198281,377723709
49098951,262190684,2021-02-27,14,PP261519199938,377744952
49098738,256334696,2021-02-27,14,PP261519199662,377741336
49098498,262189670,2021-02-27,14,PP261519199403,377738055
49098746,261966120,2021-02-27,14,PP261519199679,377741546
49097554,262168600,2021-02-27,14,PP261519198327,377724293
49097796,258879626,2021-02-27,14,PP261519198630,377728128
49098836,266201964,2021-02-27,14,PP261519199780,377742883
49098843,256593266,2021-02-27,14,PP261519199795,377743089
49098375,255840416,2021-02-27,14,PP261519199278,377736470
49098173,266239448,2021-02-27,14,PP261519199068,377733845
49097323,262234914,2021-02-27,14,PP261519198142,377721873
49098130,257107516,2021-02-27,14,PP261519199018,377733184
49100338,266293708,2021-02-27,14,PP261519200740,377755069
49099444,266293316,2021-02-27,14,PP261519200252,377748952
49098019,262186654,2021-02-27,14,PP261519198900,377731667
49097769,259013756,2021-02-27,14,PP261519198573,377727375
49098668,246154228,2021-02-27,14,PP261519199591,377740467
49098989,258353634,2021-02-27,14,PP261519199966,377745314
49097240,256422136,2021-02-27,14,PP261519198041,377720583
49097522,266292476,2021-02-27,14,PP261519198330,377724333
49100855,261563906,2021-02-27,14,PP261519201087,377759475
49098461,249651966,2021-02-27,14,PP261519199344,377737327
49098226,266292740,2021-02-27,14,PP261519199138,377734722
49097395,266238242,2021-02-27,14,PP261519198211,377722769
49099111,266293178,2021-02-27,14,PP261519200053,377746486
49097902,257022576,2021-02-27,14,PP261519198775,377730021
49097962,266292652,2021-02-27,14,PP261519198861,377731155
49100734,266293832,2021-02-27,14,PP261519200996,377758323
49100329,257635050,2021-02-27,14,PP261519200739,377755055
49097859,266271914,2021-02-27,14,PP261519198702,377729051
49098276,266292756,2021-02-27,14,PP261519199186,377735349
49098821,266270862,2021-02-27,14,PP261519199783,377742918
49098918,266293064,2021-02-27,14,PP261519199900,377744498
49097614,256390734,2021-02-27,14,PP261519198444,377725762
49098891,266293044,2021-02-27,14,PP261519199864,377744000
49098265,256438312,2021-02-27,14,PP261519199181,377735278
