County,Jurisdiction,Address,,In/Outdoor,Dropoff hours,Clerk special hours Aug. 1-2,Notes/Comments:
Kalamazoo,Charleston Township,1499 South 38th Street,Galesburg,Outdoors,24/7,,
Kalamazoo,City of Portage,7900 S. Westnedge,Portage,Outdoors,24/7,,
Kalamazoo,City of Portage,7900 S. Westnedge,Portage,Indoors,"9A - 4P, M-F",,
Kalamazoo,Climax Township,110 N. Main St.,Climax,Outdoors,24/7,,
Kalamazoo,Comstock Township,6138 King Highway,Kalamazoo,Outdoors,24/7,,
Kalamazoo,Cooper Charter Township,1590 West D Ave,Kalamazoo,Outdoors,24/7,,
Kalamazoo,Oshtemo,7275 West Main St.,Kalamazoo,Outdoors,24/7,,The drop box is walk up or drive up
Kalamazoo,Parchment,650 S Riverview Drive,Parchment,Outdoors,24/7,,
Kalamazoo,Texas Township,7110 West Q Avenue,Kalamazoo,Outdoors,24/7,,
Kalkaska,Bear Lake Township,198 East Bear Lake Rd NE,Kalkaska,Outdoors,24/7,,Located outside by the main entry door.
Kalkaska,Blue Lake Township,10599 Twin Lake Rd NE,Mancelona,Outdoors,24/7,,
Kalkaska,Clearwater Township,5440 River St.,Rapid City,Outdoors,24/7,,
Kalkaska,Coldsprings Township,6515 County Road 571,Mancelona,Outdoors,24/7,,
Kalkaska,EXCELSIOR TOWNSHIP,987 CO. RD. 571,KALKASKA,Outdoors,24/7,,
Kalkaska,EXCELSIOR TOWNSHIP,967 SIGMA RD. S.E.,KALKASKA,Outdoors,24/7,,
Kalkaska,KALKASKA TOWNSHIP,209 LAUREL STREET,KALKASKA,Outdoors,24/7,,
Kent,Algoma Township,10531 Algoma Ave NE,Rockford,Outdoors,24/7,,
Kent,Alpine Township,5255 Alpine Avenue NW,Comstock Park,Indoors,24/7,,
Kent,Byron Township,8085 Byron Center Ave. SW,BYRON CENTER,Outdoors,24/7,,
Kent,Byron Township,8085 Byron Center Ave. SW,BYRON CENTER,Indoors,"8A - 5P, M-F","7A - 3P,  Saturday, Aug. 1",
Kent,Charter Township of Caledonia,8196 Broadmoor Ave SE,Caledonia,Outdoors,24/7,,
Kent,City of Grand Rapids,300 Ottawa NW,Grand Rapids,Outdoors,24/7,,
Kent,City of Wyoming,1155 28th Street SW,Wyoming,Outdoors,24/7,,The drop box is located on the north side of City Hall.
Kent,Courtland Township,7450 14 Mile Rd,Rockford,Outdoors,24/7,,
Kent,Courtland Township,7450 14 Mile Rd,Rockford,Indoors,"9A - 12P, 1P- 4:30PM-Th",,
Kent,Grand Rapids Charter Township,1836 East Beltline NE,Grand Rapids,Outdoors,24/7,,Curbside drop box
Kent,Lowell Charter Township,2910 Alden Nash SE,Lowell,Outdoors,24/7,,
Kent,Oakfield Township,10300 14 Mile Road,Rockford,Outdoors,24/7,,
Kent,Rockford,7 S Monroe St,Rockford,Outdoors,24/7,,
Kent,SOLON TOWNSHIP,15185 Algoma Avenue NE,Cedar Springs,Outdoors,24/7,,
Kent,Tyrone Township,28 E. Muskegon St,Kent City,Outdoors,24/7,,
Kent,Vergennes Township,10381 Bailey Dr,Lowell,Outdoors,24/7,,
Kent,Walker,4243 Remembrance Rd,Walker,Outdoors,24/7,,
Lake,Elk Township,8966 N. Bass Lake Road,Irons,Outdoors,24/7,,Outside office front door.
Lapeer,Almont Township,819 N Main St,Almont,Outdoors,24/7,,
Lapeer,Arcadia Township,4900 Spencer St,Attica,Outdoors,24/7,,Black locked drop box located near the message board and flag pole.
Lapeer,City of Imlay City,150 N Main,Imlay,Outdoors,24/7,,
Lapeer,City of Lapeer,576 Liberty Park,Lapeer,Outdoors,24/7,,
Lapeer,Deerfield Township,30 E. Burnside Rd,North Branch,Outdoors,24/7,,
Lapeer,Dryden Township,4849 Dryden Rd.,Dryden,Outdoors,24/7,,
Lapeer,Elba,4717 Lippincott Rd.,Lapeer,Outdoors,24/7,,
Lapeer,Hadley Township,4293 Pratt Rd,Hadley,Outdoors,24/7,,
Lapeer,Imlay Township,682 N Fairgrounds Rd,Imlay City,Outdoors,24/7,,On front of the building.
Lapeer,Marathon Township,4575 Pine Street,Columbiaivlle,Outdoors,24/7,,
Lapeer,North Branch,6771 Elm Street,North Branch,Outdoors,24/7,,Next to the front entrance of the building.
Leelanau,Bingham Township,7171 S. Center Highway,Traverse City,Outdoors,24/7,,
Leelanau,Cleveland Township,955 W Harbor Hwy,Maple City,Outdoors,24/7,,
Leelanau,Elmwood Township,10090 E. Lincoln Rd.,Travere City,Outdoors,24/7,,
Leelanau,Empire Township,10098 W Front Street,Empire,Outdoors,24/7,,Secure mail slot in door.
Leelanau,Leland Township,123 N Saint Joseph Street,Lake Leelanau,Outdoors,24/7,,
Leelanau,Suttons Bay Township,95 W. Fourth Street,Suttons Bay,Outdoors,24/7,,
Lenawee,Blissfield Township,120s lane street,Blissfield,Outdoors,24/7,,Slot in front door of office
Lenawee,CITY OF ADRIAN,135 E. MAUMEE STREET,ADRIAN,Outdoors,24/7,,"Payment drop boxes at back of hall for drive-up or to right of doors onbuilding."
Lenawee,City of Hudson,121 N Church St,Hudson,Outdoors,24/7,,
Lenawee,Clinton,172 W. Michigan Ave,Clinton,Outdoors,24/7,,Drop slot by front entrance.
Lenawee,FRANKLIN TOWNSHIP,3922 MONROE ROAD,TIPTON,Outdoors,24/7,,To right of hall front door.
Lenawee,Palmyra Township,4276 Main St.,Palmyra,Outdoors,24/7,,South side door of the building.
Lenawee,Riga,7817 Riga Hwy,Riga,Outdoors,24/7,,On west office door.
Lenawee,Township,3804 S. Adrian Hwy.,Adrian,Outdoors,24/7,,
Lenawee,Woodstock Township,6486 Devils Lake Hwy,Addison,Outdoors,24/7,,Small drop box also used for tax payments and permits.
Livingston,Charter Township of Brighton,4363 Buno Road,Brighton,Outdoors,24/7,,"Has one currently attached to building, adding another that will be curbsidefor residents to drive up."
Livingston,City of Howell,611 E. GRAND RIVER,HOWELL,Indoors,24/7,,Lobby area of city hall
Livingston,Cohoctah Township,10518 N Antcliff Rd,Fowlerville,Outdoors,24/7,,
Livingston,Conway Township,8015 N Fowlerville Road,Fowlerville,Outdoors,24/7,,
Livingston,Hamburg Township,10405 Merrill Rd,Hamburg,Outdoors,24/7,,Drive up box at the beginning of the walkway from the parking lot.
Livingston,HANDY TOWNSHIP,135 N. GRAND AVENUE,Fowlerville,Outdoors,24/7,,
Livingston,Hartland Township,2655 Clark Rd.,Hartland,Outdoors,24/7,,
Livingston,Howell Township,3525 Byron Rd,Howell,Outdoors,24/7,,
Livingston,Iosco Township,2050 Bradley Rd.,Webberville,Outdoors,24/7,,
Livingston,Unadilla,126 Webb street,Gregory,Outdoors,24/7,,
Mackinac,Bois Blanc Township,431 Sioux Ave,Pointe Aux Pins,Outdoors,24/7,,Drop box/window is to the side of the entry to the hall offices.
Mackinac,Clark Township,207 N. Blind Line Road,Cedarville,Outdoors,24/7,,On outside of building.
Mackinac,Garfield Township,N6760 State Highway 117,Engadine,Outdoors,24/7,,On front door to hall.
Mackinac,Portage Township,W17361 Davis St,Curtis,Outdoors,24/7,,Box is on front door.
Macomb,Center Line,7070 E. Ten Mile,Center Line,Outdoors,24/7,,
Macomb,Charter Township of Harrison,38151 Lanse Creuse St.,Harrison Township,Outdoors,24/7,,
Macomb,City of New Baltimore,36535 Green Street,New Baltimore,Outdoors,24/7,,
Macomb,City of Richmond,36725 Division Road,Richmond,Outdoors,24/7,,
Macomb,CIty of St. Clair Shores,27600 Jefferson Avenue,St. Clair Shores,Outdoors,24/7,,3 drop boxes at City Hall
Macomb,City of Sterling Heights,40555 Utica Rd,Sterling Heights,Outdoors,24/7,,
Macomb,City of Sterling Heights,12825 19 Mile Rd,Sterling Heights,Outdoors,24/7,,
Macomb,City of Sterling Heights,5250 15 Mile Rd,Sterling Heights,Outdoors,24/7,,
Macomb,City of Sterling Heights,12850 15 Mile Rd,Sterling Heights,Outdoors,24/7,,Use Baumgartner Park entrance for drop box at fire station.
Macomb,City of Sterling Heights,41625 Ryan Rd,Sterling Heights,Outdoors,24/7,,
Macomb,City of Sterling Heights,40200 Utica Rd,Sterling Heights,Indoors,"9A - 5P, M-F","9A - 5P, Saturday, Aug. 1",
Macomb,City of Sterling Heights,40555 Utica Rd,Sterling Heights,Indoors,"9A - 5P, M-F",,
Macomb,Macomb Township,54111 Broughton Rd.,Macomb Township,Outdoors,24/7,,Drive-up accessible.
Macomb,Macomb Township,54111 Broughton Rd,Macomb Township,Outdoors,24/7,,Located in the back of the building at the top of the ADA ramp.
Macomb,Macomb Township,54111 Broughton Rd,Macomb Township,Indoors,"9A - 4P, M-F","9A - 4P on Monday, July 27 -Thursday, July 30;  9A - 5P on Friday,July 31; 8A - 4P on Saturday, Aug 1.",Located on the 2nd floor inside town hall in front of the Clerk's Department
Macomb,Macomb Township,51210 Alma Drive,Macomb Township,Outdoors,24/7,,Located in front of the Marvin Blank Senior Center and drive-up accessible.
Macomb,Ray Township,64255 Wolcott Road,Ray,Outdoors,24/7,,
Macomb,Roseville,29777 Gratiot,Roseville,Outdoors,24/7,,"South side for walk up, north for drive up"
Macomb,Utica,7550 Auburn Road,Utica,Indoors,24/7,,
Manistee,Arcadia,3422 Lake Street,Arcadia,Outdoors,24/7,,
Manistee,Charter Township of Filer,2505 Filer City Rd,Manistee,Outdoors,24/7,,
Manistee,Dickson Township,14270 Brethren Blvd,Brethren,Outdoors,24/7,,
Manistee,Maple Grove Township,9213 Aura St.,Kaleva,Indoors,24/7,,Use mail slot to drop it inside building.
Manistee,Stronach Township,2471 Main St.,Manistee,Outdoors,24/7,,
Marquette,Marquette Township,1000 Commerce Drive,Marquette,Outdoors,24/7,,
